source_path,status,destination_or_note
04_weapons/LPC_Medieval_Weapons/Male/War Axe/Slash.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/War Axe/Slash.png
04_weapons/LPC_Medieval_Weapons/Male/Halberd/Hurt.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Halberd/Hurt.png
04_weapons/LPC_Medieval_Weapons/Male/Halberd/Thrust.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Halberd/Thrust.png
04_weapons/LPC_Medieval_Weapons/Male/Halberd/Halberd Universal.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Halberd/Halberd Universal.png
04_weapons/LPC_Medieval_Weapons/Male/Halberd/Walk.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Halberd/Walk.png
04_weapons/LPC_Medieval_Weapons/Male/Halberd/Slash.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Halberd/Slash.png
04_weapons/LPC_Medieval_Weapons/Male/Flail/Hurt.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Flail/Hurt.png
04_weapons/LPC_Medieval_Weapons/Male/Flail/Flail Universal.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Flail/Flail Universal.png
04_weapons/LPC_Medieval_Weapons/Male/Flail/Walk.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Flail/Walk.png
04_weapons/LPC_Medieval_Weapons/Male/Flail/Slash.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/Flail/Slash.png
05_tiles/TilesDungeon/Corner4.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/Corner4.png
05_tiles/TilesDungeon/WallLeftEnd.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/WallLeftEnd.png
05_tiles/TilesDungeon/WallLeft.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/WallLeft.png
05_tiles/TilesDungeon/Corner2.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/Corner2.png
